title,description,price,quantity,tags,who_made,when_made,is_digital,canva_link
Trading Journal Template — Canva Editable,"Professional trading journal template for day traders & swing traders. Track entry/exit, R:R ratio, emotions, and daily P&L. Fully editable in Canva (free account works). Includes: Daily Log, Weekly Summary, Monthly Dashboard, Trade Screenshot section.

📊 15 pages | 🎨 Fully editable in Canva (free account works)
📥 Instant download — Canva Template Link

🔗 Canva Template Link included in download
💬 Questions? Message me — I reply within 24h

Tags: trading journal, trade tracker, day trading, forex journal, stock trading",12.99,999,"trading journal, trade tracker, day trading, forex journal, stock trading, crypto journal, trading template, canva editable",i_did,2024_2026,TRUE,https://www.canva.com/design/XXXXXXXXX/trading-journal
ICT/SMC Trading Strategy Planner — Canva Template,"Plan your ICT/SMC trades with this professional template. Includes: Killzone tracker, FVG/OB mapping, Daily Bias worksheet, Liquidity sweep tracker, and Session checklist. Designed by traders, for traders. Fully editable in Canva.

📊 20 pages | 🎨 Fully editable in Canva (free account works)
📥 Instant download — Canva Template Link

🔗 Canva Template Link included in download
💬 Questions? Message me — I reply within 24h

Tags: ICT trading, SMC strategy, smart money, FVG template, order block",14.99,999,"ICT trading, SMC strategy, smart money, FVG template, order block, trading planner, forex strategy, canva template",i_did,2024_2026,TRUE,https://www.canva.com/design/XXXXXXXXX/ict-planner
Forex Cheat Sheet Bundle — 10 Printable PDFs,"10 beautifully designed forex cheat sheets: Candlestick Patterns, Chart Patterns, Support/Resistance, Fibonacci, Pivot Points, Economic Calendar, Major Pairs, Session Times, Risk Management, and Trading Psychology. Editable in Canva.

📊 10 pages | 🎨 Fully editable in Canva (free account works)
📥 Instant download — Canva Template Link + PDF Export

🔗 Canva Template Link included in download
💬 Questions? Message me — I reply within 24h

Tags: forex cheat sheet, trading cheat sheet, candlestick patterns, chart patterns, forex education",19.99,999,"forex cheat sheet, trading cheat sheet, candlestick patterns, chart patterns, forex education, trading pdf, canva editable, trading bundle",i_did,2024_2026,TRUE,https://www.canva.com/design/XXXXXXXXX/forex-cheat-sheets
TradingView Chart Layout — Dark Theme PowerPoint/Canva,"Professional dark-themed trading presentation template. Perfect for trade recaps, YouTube thumbnails, Instagram posts, and Telegram channel graphics. Includes 30+ slide layouts with chart placeholders, crypto/fx icons, and price action arrows.

📊 30 pages | 🎨 Fully editable in Canva (free account works)
📥 Instant download — Canva Template Link

🔗 Canva Template Link included in download
💬 Questions? Message me — I reply within 24h

Tags: trading presentation, tradingview template, dark theme, trade recap, youtube thumbnail",16.99,999,"trading presentation, tradingview template, dark theme, trade recap, youtube thumbnail, forex graphics, canva presentation, trading slides",i_did,2024_2026,TRUE,https://www.canva.com/design/XXXXXXXXX/dark-theme
Crypto Portfolio Tracker — Canva Spreadsheet Style,"Track your crypto portfolio with this beautifully designed Canva template. Monitor coins, entry price, current price, P&L, allocation %, and total portfolio value. Includes auto-calculating fields and monthly performance dashboard.

📊 8 pages | 🎨 Fully editable in Canva (free account works)
📥 Instant download — Canva Template Link

🔗 Canva Template Link included in download
💬 Questions? Message me — I reply within 24h

Tags: crypto tracker, crypto portfolio, bitcoin tracker, altcoin tracker, crypto spreadsheet",9.99,999,"crypto tracker, crypto portfolio, bitcoin tracker, altcoin tracker, crypto spreadsheet, canva template, portfolio tracker",i_did,2024_2026,TRUE,https://www.canva.com/design/XXXXXXXXX/crypto-tracker
Social Media Pack for Traders — Instagram + Telegram,"50+ social media templates for trading influencers. Includes: Daily P&L posts, Market recap stories, Trade setup carousels, Motivational quotes, Telegram channel headers, and Instagram highlight covers. All in trending trading aesthetic.

📊 50 pages | 🎨 Fully editable in Canva (free account works)
📥 Instant download — Canva Template Link

🔗 Canva Template Link included in download
💬 Questions? Message me — I reply within 24h

Tags: trading social media, forex instagram, trading templates, telegram graphics, market recap",24.99,999,"trading social media, forex instagram, trading templates, telegram graphics, market recap, trade setup, social media pack, canva bundle",i_did,2024_2026,TRUE,https://www.canva.com/design/XXXXXXXXX/social-media
Risk Management Calculator — Canva Interactive,"Interactive risk management template for Canva. Calculate position size, stop loss distance, lot size, and risk per trade. Includes: Risk % calculator, R:R visualizer, Max drawdown tracker, and Weekly risk budget planner.

📊 12 pages | 🎨 Fully editable in Canva (free account works)
📥 Instant download — Canva Template Link

🔗 Canva Template Link included in download
💬 Questions? Message me — I reply within 24h

Tags: risk management, position size calculator, forex calculator, trading risk, lot size",11.99,999,"risk management, position size calculator, forex calculator, trading risk, lot size, risk reward, canva template, trading tool",i_did,2024_2026,TRUE,https://www.canva.com/design/XXXXXXXXX/risk-calculator
Trading Business Plan — Canva Document,"Complete trading business plan template for serious traders. Sections: Mission statement, Trading strategy, Risk rules, Capital allocation, Monthly goals, Performance metrics, and Review framework. Professional design — presentable to prop firms.

📊 25 pages | 🎨 Fully editable in Canva (free account works)
📥 Instant download — Canva Template Link

🔗 Canva Template Link included in download
💬 Questions? Message me — I reply within 24h

Tags: trading business plan, prop firm, trading plan, forex business, trading goals",17.99,999,"trading business plan, prop firm, trading plan, forex business, trading goals, financial plan, canva document, professional template",i_did,2024_2026,TRUE,https://www.canva.com/design/XXXXXXXXX/business-plan
Market Analysis Report Template — Daily/Weekly,"Professional market analysis report template. Sections: Market overview, DXY analysis, Key levels, News calendar, Trade setups, and Weekly outlook. Perfect for Telegram channels, trading blogs, and client reports.

📊 10 pages | 🎨 Fully editable in Canva (free account works)
📥 Instant download — Canva Template Link

🔗 Canva Template Link included in download
💬 Questions? Message me — I reply within 24h

Tags: market analysis, market report, forex analysis, trading report, weekly outlook",13.99,999,"market analysis, market report, forex analysis, trading report, weekly outlook, technical analysis, canva template, client report",i_did,2024_2026,TRUE,https://www.canva.com/design/XXXXXXXXX/market-report
Ultimate Trading Bundle — All 9 Templates + Bonus,"Get ALL 9 trading templates in one bundle at 40% off. Includes: Trading Journal, ICT Planner, Forex Cheat Sheets, Chart Layout, Crypto Tracker, Social Media Pack, Risk Calculator, Business Plan, and Market Report. Plus FREE bonus: Canva Brand Kit for Traders.

📊 180 pages | 🎨 Fully editable in Canva (free account works)
📥 Instant download — Canva Template Links (10 links)

🔗 Canva Template Link included in download
💬 Questions? Message me — I reply within 24h

Tags: trading bundle, all templates, forex bundle, trading pack, canva mega bundle",79.99,999,"trading bundle, all templates, forex bundle, trading pack, canva mega bundle, trading kit, best value, discount bundle",i_did,2024_2026,TRUE,https://www.canva.com/design/XXXXXXXXX/ultimate-bundle

SUMMARY,,$223.90 total,10,,,,,
